ID	Symbol	adj.P.Val	logFC	P.Value
ILMN_1738589	MGLL	1.78541365814563e-05	-0.696606037280695	7.07431493372881e-07
ILMN_1706652	OGG1	1.8271157301505e-05	-0.722134502192981	7.29263970773298e-07
ILMN_1769720	STAU2	1.84302659281485e-05	-0.410641777412277	7.37160447478452e-07
ILMN_2318430	EIF5	1.86194830242225e-05	1.06270916557018	7.48069070777101e-07
ILMN_1803593	WNT3	2.01689011009728e-05	0.739852835526325	8.25238081607018e-07
ILMN_2328986	SREBF1	2.26982356507532e-05	-0.815973620614029	9.53454157777494e-07
ILMN_1697493	WDFY3	2.31560655702501e-05	0.706218401315798	9.77382421941843e-07
ILMN_1726545	LILRA5	2.31560655702501e-05	0.80963641557018	9.78389277231903e-07
ILMN_1799815	XYLT2	2.31560655702501e-05	-0.781177496710523	9.78838207489836e-07
ILMN_1711862	RNF7	2.33331632563549e-05	-0.272212700657887	9.90450167841324e-07
ILMN_1777519	ITGB7	2.37794777527885e-05	-0.826459743421051	1.01344269825003e-06
ILMN_1678612	ANXA6	2.44414137943291e-05	-0.747232341008765	1.04997325147031e-06
ILMN_2302757	FCGBP	2.45600579105839e-05	-1.3578955372807	1.05722833540578e-06
ILMN_1752065	NLF2	2.57667592938716e-05	1.33994997039474	1.11831085882446e-06
ILMN_1774844	MAPKAPK2	2.59619148314711e-05	0.538823401315792	1.13029574289746e-06
ILMN_1695246	KLHDC8B	2.77632083019936e-05	-0.672323369517537	1.22575079714354e-06
ILMN_1694634	MOGAT3	2.81621400669868e-05	-0.712979117324558	1.24623964622265e-06
ILMN_1708110	TMEM144	2.81785850618987e-05	-0.68828802083333	1.24792658084659e-06
ILMN_3238233	HIST2H4B	2.89814229019193e-05	-0.425508480263154	1.29630628359336e-06
ILMN_1801842	PTX3	3.01744645660779e-05	1.76345020285088	1.35891400146104e-06
ILMN_1665696	EFNA4	3.02590919668525e-05	-0.777311846491223	1.36375524267667e-06
ILMN_2352326	COASY	3.16381994626547e-05	-0.550295585526317	1.43883427450409e-06
ILMN_1707748	PIM3	3.37366485129462e-05	1.4797904747807	1.56068030531007e-06
ILMN_1660552	BMP5	3.38449141600506e-05	-0.957507206140345	1.57029710318102e-06
ILMN_1685275	MCAM	3.44674358483953e-05	1.16214810964913	1.60856638009837e-06
ILMN_1655610	RET	3.98366841598864e-05	-1.1291289122807	1.90931855863839e-06
ILMN_1704353	IGSF3	4.06441693776316e-05	-0.836951437499996	1.95217084766444e-06
ILMN_1767068	SMAD6	4.10776129402658e-05	-0.804458489035079	1.97578605999917e-06
ILMN_1678939	VNN2	4.1760481254095e-05	0.86077892105263	2.01463214939651e-06
ILMN_1794823	ZNF626	4.69683173760894e-05	-0.496508589912278	2.3054877508364e-06
ILMN_1716435	ATF7IP	5.15128779478739e-05	-0.847973039473681	2.57941394496792e-06
ILMN_1680777	MAP2K3	5.49549166083959e-05	0.627818561403512	2.78657165737612e-06
ILMN_1748923	SMC2	5.65028223032911e-05	-0.782699311403505	2.8831307019993e-06
ILMN_1658909	OSGEPL1	5.68552550898943e-05	-0.790960077850871	2.90692014654394e-06
ILMN_1730696	ZNF167	5.72472102994457e-05	-0.429725478070173	2.92969125350593e-06
ILMN_1687863	LSS	5.74800263862415e-05	-0.877010081140345	2.94669025896721e-06
ILMN_1756595	SH3TC1	5.92876146886513e-05	0.643978913377193	3.06155534883358e-06
ILMN_3248941	C6orf225	6.20212601371815e-05	-0.770451703947368	3.2280527878868e-06
ILMN_1814600	DEPDC1B	6.48482037660335e-05	-0.574212436403508	3.38843288221607e-06
ILMN_2397571	PIGC	6.65596108867106e-05	-0.795626286184207	3.50051396738836e-06
ILMN_3248703	SNORD99	6.72529854721127e-05	0.921421631578953	3.54613726712403e-06
ILMN_3251610	CD177	7.13475396080839e-05	0.563537923684216	3.79360917955636e-06
ILMN_1652722	C14orf2	7.18917717237844e-05	-0.35542238267543	3.83233531400232e-06
ILMN_1755318	HIST1H2AJ	7.38140083380063e-05	-0.546087172149116	3.95993046058815e-06
ILMN_1741727	QPCT	7.40076261321999e-05	0.609117446271938	3.97535602806997e-06
ILMN_1740772	APBB3	7.47413889220895e-05	-0.691965645833328	4.0300357440375e-06
ILMN_1765578	TIPARP	7.67432380245387e-05	1.25207974561404	4.16457320343473e-06
ILMN_1678919	YOD1	7.70979387954898e-05	0.362449606359654	4.1938423322733e-06
ILMN_2162358	ZNF597	7.72540548119989e-05	0.627716288377201	4.21811294272547e-06
ILMN_3250067	ANGPT2	7.78763663392245e-05	0.850564155701756	4.26534613608647e-06
ILMN_1794844	THRSP	7.82306648130186e-05	-0.624317131578941	4.28741431558566e-06
ILMN_1761911	SCYL1BP1	7.839706557509e-05	-0.4723954243421	4.30187118177639e-06
ILMN_3235808	POM121C	8.59359832161347e-05	0.456879626096502	4.83841495862364e-06
ILMN_1666258	AMFR	8.89523455403634e-05	-0.438761362938589	5.03899134323946e-06
ILMN_1811836	DYNC2LI1	9.3874116309583e-05	-0.600518455043852	5.38441249894977e-06
ILMN_1686884	IL1RAP	9.41988223172079e-05	0.708646302631584	5.40945002039452e-06
ILMN_1754842	DLGAP4	9.80345803031232e-05	0.611081628289472	5.65772997744898e-06
ILMN_2412024	JMJD6	9.80345803031232e-05	0.620470358552636	5.65975587003768e-06
ILMN_1795836	C21orf57	0.000100733722971306	-0.340712805921045	5.87044741555895e-06
ILMN_1758728	FANCG	0.000102104210653954	-0.618380395833329	5.97279291551608e-06
ILMN_1706304	EIF2C4	0.000107255734157152	-0.531534552631575	6.33085213018694e-06
ILMN_1656196	E2F6	0.000107383333988307	0.603237662280701	6.34569451624403e-06
ILMN_1735360	SDAD1	0.000109531023211555	0.356533941885978	6.49498050973648e-06
ILMN_2311761	AP3S1	0.000115715578837692	-0.226003519736839	6.93655357365202e-06
ILMN_1710758	RNF20	0.000120249045583189	-0.397183132675433	7.29427100211877e-06
ILMN_1771179	CYB561	0.000122871432215403	-0.731237956140347	7.49516991285707e-06
ILMN_2203896	SMAD7	0.000126508096035087	-0.70252988048245	7.80313408501813e-06
ILMN_1712918	NQO2	0.000127885048250514	-0.641179424342102	7.90547869499723e-06
ILMN_1737604	FLJ10986	0.000139122102336128	-0.313061980263157	8.74219290303612e-06
ILMN_1729476	PROL1	0.000150779103783194	-1.04747798355263	9.59274755661877e-06
ILMN_1768913	TSN	0.000151466558918919	0.254150009868425	9.64679619216727e-06
ILMN_2234709	C12orf60	0.000151861790657267	-0.510731997807014	9.68230703955682e-06
ILMN_1662306	RABL3	0.000160397566362411	-0.514047456140345	1.03193450803335e-05
ILMN_1757467	H1F0	0.000166977153737529	-0.369145942982454	1.08222248941776e-05
ILMN_1797875	ALOX5AP	0.000180810013774129	0.767240819078951	1.20191077824328e-05
ILMN_1670145	DFNA5	0.000184953202743919	-0.83663337609649	1.23461630044193e-05
ILMN_2306189	MAGED1	0.000186489565799306	-0.695346152412277	1.24868085892785e-05
ILMN_2108938	FNBP4	0.000196707388623087	0.579342683114044	1.33182760653341e-05
ILMN_1703314	KLHL36	0.000198623089490684	0.337242774122814	1.34817864466904e-05
ILMN_1810229	ARID4A	0.000199479426635433	-0.500630634868415	1.35467017101027e-05
ILMN_1772123	ACACA	0.000200121496165715	-0.57318389583333	1.35971170080936e-05
ILMN_1732550	KLHL23	0.000203435119830954	-0.462440991228069	1.38776587174058e-05
ILMN_1669335	RUNX1	0.000203854596322418	0.930548155701763	1.3927091766317e-05
ILMN_1755926	DBI	0.000206768558412942	-1.0192915493421	1.4168400724555e-05
ILMN_1717099	DSCR3	0.000211024601214335	-0.338855956140344	1.44891255106291e-05
ILMN_1723117	IPO9	0.000211024601214335	-0.274458069078946	1.44959541563308e-05
ILMN_1807719	CTNS	0.000216634586667163	-0.457329278508766	1.49771877836746e-05
ILMN_1810000	RDH16	0.000223557679610888	-0.357264471491225	1.55699701291445e-05
ILMN_1704019	OGFOD2	0.000226695086012668	-0.548897932456134	1.58502129785213e-05
ILMN_1778173	AK3	0.000228754975822693	-0.255092797149119	1.60175983002784e-05
ILMN_1748908	PROSC	0.000229058603545472	-0.255565040570177	1.60466557543855e-05
ILMN_1689456	ZBTB20	0.000235057640228095	0.3144677631579	1.65549326899251e-05
ILMN_2052871	TMEM116	0.000235502053704934	-0.418811660087714	1.66208945392931e-05
ILMN_2268068	MAPKAP1	0.000235502053704934	-0.421175580043856	1.66263151235331e-05
ILMN_1684690	HDAC11	0.000246137454862059	-0.642168124999996	1.75196043883502e-05
ILMN_1783996	DEM1	0.000251839199651027	-0.378540405701747	1.80111705915106e-05
ILMN_2388547	EPSTI1	0.000256627867217468	-0.57973211403508	1.8379856099178e-05
ILMN_1793360	APITD1	0.00025722788947322	-0.593808390350873	1.84403422824183e-05
ILMN_2413527	VCL	0.00026327585344654	0.563615914473688	1.89545709241731e-05
ILMN_1784256	HDGFRP3	0.000270730915366017	0.44053724780702	1.96295350011784e-05
ILMN_1768097	RPGR	0.000272267836029748	0.994875558114035	1.97687746962404e-05
ILMN_2405324	IL28RA	0.000277524716403281	0.55648605153509	2.01977003666207e-05
ILMN_2376313	MSMB	0.000277919952389344	-0.544459063596484	2.02722844893222e-05
ILMN_1701134	PTEN	0.000277919952389344	-0.248139432017542	2.02772669766637e-05
ILMN_1699844	SCRN3	0.00027891937441098	-0.417128609649117	2.03846511509131e-05
ILMN_2193498	C1orf25	0.000279649458271604	-0.722613341008767	2.04570475482751e-05
ILMN_1789384	QSOX2	0.000288616028640837	0.669806275219305	2.11719216298806e-05
ILMN_1657701	TMEM137	0.000289401300692733	0.858569372807022	2.12393778906468e-05
ILMN_2145050	POM121	0.000290985571757534	0.751744553728072	2.13754591637253e-05
ILMN_1789106	IPP	0.000291394344702473	-0.741311294956139	2.14352445417178e-05
ILMN_2365383	ENO3	0.000296885462439329	-0.872523767543859	2.19503429355694e-05
ILMN_1701603	ALPL	0.000298179971897185	0.322323758771935	2.20866534652372e-05
ILMN_2172969	STXBP6	0.000301106262727127	0.687998127192989	2.23341575546315e-05
ILMN_1679800	BRIX1	0.000303270898653107	0.458594000000009	2.25153633782355e-05
ILMN_1705679	SAFB2	0.000308805017132123	0.287785314692988	2.30208321993175e-05
ILMN_1790109	THAP8	0.000309535099922648	-0.349505202850869	2.30857951434974e-05
ILMN_1750896	STX17	0.000311865187173345	-0.604896864035082	2.33020419323107e-05
ILMN_2391345	C9orf23	0.000313054400824919	-0.755883971052629	2.34228673116101e-05
ILMN_1663099	UBE2B	0.00031411527357715	0.514991724780703	2.35236273911472e-05
ILMN_1679428	CHIC2	0.000317364228906621	0.686037526315797	2.3820952607111e-05
ILMN_1667594	KLF10	0.000330608982548453	0.657974302631581	2.50176589919056e-05
ILMN_2165463	HAPLN4	0.000346337746618302	-0.800647846491223	2.64630510001774e-05
ILMN_2405680	CRB3	0.000349088144600476	-0.730452529605259	2.67843781846163e-05
ILMN_1815480	NAT8	0.000355556472923236	-0.606413387061396	2.73330485371262e-05
ILMN_2361862	VLDLR	0.000355923867560828	-0.677907198464913	2.73936707136546e-05
ILMN_1652609	RGNEF	0.000364560430154164	-0.588629416666661	2.82197099149188e-05
ILMN_1659845	KIAA0355	0.00038584926340092	0.450805433114036	3.02353883769248e-05
ILMN_1815169	MCM5	0.000399984314005935	-0.788998506578938	3.15880998227787e-05
ILMN_1726138	EI24	0.000429285093479122	-0.649971638157888	3.44281471980397e-05
ILMN_1730504	AGPAT4	0.000434406242315207	0.629805014254391	3.49701209141307e-05
ILMN_2206282	GEN1	0.000434406242315207	-0.517103094298241	3.49725999315731e-05
ILMN_3227023	SNHG7	0.00043825757596271	-0.795029030701748	3.54404701743178e-05
ILMN_1773696	RGMB	0.000445964131446158	0.57380099561404	3.61908462187303e-05
ILMN_2116516	SCRN3	0.000446733084521309	-0.523930435307015	3.63113140358748e-05
ILMN_1722738	ROGDI	0.000460039430317979	-0.464614324561399	3.76449147876466e-05
ILMN_1677955	ENTPD6	0.000463444399997545	-0.717281180921047	3.79722460017732e-05
ILMN_1791728	SLC25A25	0.000472990893127633	0.521225457236849	3.89154436698604e-05
ILMN_1708375	IRF1	0.000479195329893812	1.0290071754386	3.9556410627106e-05
ILMN_1665300	C1orf25	0.000513846291211328	-0.251692307017535	4.32038785203384e-05
ILMN_1747204	HTRA2	0.000532519415020774	-0.458315600877189	4.51545720399206e-05
ILMN_3250984	CNBP	0.000570785308814207	0.350711626096496	4.92542042361036e-05
ILMN_1696432	IDH1	0.000574132556851028	-0.894410898026312	4.96407629915108e-05
ILMN_1767665	LOC493869	0.000579867180412164	-0.650543499999994	5.02155464127904e-05
ILMN_1715416	NUP188	0.000581332410245313	0.343156916666672	5.04413763731934e-05
ILMN_1692169	NAT5	0.000585492890732023	0.571429706140353	5.09180504333981e-05
ILMN_1755954	CPEB3	0.000608033899707471	0.322911351973687	5.33377594562465e-05
ILMN_1807467	RGNEF	0.000616771685051411	-0.60733694736842	5.42722131551179e-05
ILMN_1676413	VSNL1	0.000622956763271487	-0.698798200657892	5.50362585673851e-05
ILMN_1811648	DCAKD	0.000637787010275003	-0.432364062499996	5.6555644271586e-05
ILMN_2396287	RFX2	0.000655860703597945	1.04918590241228	5.84932104512583e-05
ILMN_2154052	FVT1	0.000673094403149607	0.32208364583334	6.02593280553993e-05
ILMN_1740407	CHSY3	0.000676307659651926	0.9022929506579	6.06851275093603e-05
ILMN_1741462	FAHD1	0.000681567856200387	-0.857315991228065	6.12731289180386e-05
ILMN_1675858	PMEPA1	0.000695802693501126	0.374835725657899	6.27896973983554e-05
ILMN_1769925	C2CD4A	0.0007082055090341	1.25224625942983	6.42705479485622e-05
ILMN_1792922	SOD2	0.00071968486205019	0.462028537280702	6.56307909395942e-05
ILMN_3242186	C6orf124	0.000742933592695565	-0.548412844298236	6.83578820524939e-05
ILMN_1666825	C1orf229	0.000761884055303891	-0.476074692982452	7.07758309876542e-05
ILMN_1728236	SLFN12	0.000769906887989828	-0.510078956140344	7.17831965893093e-05
ILMN_1680171	MFF	0.00077103447577552	-0.207974495614023	7.19933133761872e-05
ILMN_1809582	VPS13C	0.000781330947178124	-0.376451138157888	7.32363775315183e-05
ILMN_1740864	TREML2	0.000800829206871327	0.521716755482458	7.5320526213891e-05
ILMN_2365595	GMPR2	0.000818436970073514	-0.359393372807011	7.73666291961109e-05
ILMN_2413816	GRB14	0.000844888619947981	-0.330163654605258	8.03560201564033e-05
ILMN_1810652	LMBRD2	0.000845626082340531	-0.393327059210522	8.04549443490412e-05
ILMN_1697096	SPG7	0.000899720117115461	-0.858499410307015	8.667351776685e-05
ILMN_1810267	DNHD1	0.000929816105882887	0.593371585526322	9.00475481239341e-05
ILMN_2260833	CCNB1IP1	0.000931860706197816	0.823023858552633	9.03910550354685e-05
ILMN_1651557	KDELC2	0.000934322772412974	0.191704782894744	9.07066258270689e-05
ILMN_2134855	LOC728758	0.000954999006956861	-0.689277551535087	9.34291161791203e-05
ILMN_1741171	TM2D2	0.00095740517665471	-0.322971279605259	9.37622865927631e-05
ILMN_2345872	SUMF2	0.000980253194770362	-0.202834861842097	9.64002954587458e-05
ILMN_1768260	GAS6	0.00101459372715961	-0.543839717105259	0.000100364549515806
ILMN_2103685	DEPDC1B	0.00102282083104467	-0.449231572807014	0.000101317650486434
ILMN_1663618	STAT3	0.00103857255885236	0.370552319078953	0.000103199248655343
ILMN_2305407	ZBTB16	0.00103903556013127	0.611373691885971	0.000103348262474166
ILMN_2166972	BBS12	0.00108300486678758	-0.502595995614032	0.00010869642331
ILMN_2373010	TMEM70	0.00110045145720529	0.443602322368424	0.000110693197264583
ILMN_1792660	CAMSAP1L1	0.00110503060810978	0.396093980263162	0.000111191424501226
ILMN_1780786	ASAH2	0.00111282229539809	-0.851476998903507	0.000112051208421131
ILMN_1705676	MRAP	0.00115158441110806	-1.18167625219298	0.000116895010175452
ILMN_1680644	MIOS	0.00117589859488823	-0.202588810307011	0.000119963511892978
ILMN_1756238	TMEM217	0.00118305386355915	0.40497542324562	0.00012097609901084
ILMN_1686748	TMEM9	0.00118305386355915	-0.740951473684206	0.000120984802806591
ILMN_1742250	CCNH	0.00118805049404226	0.214543441885963	0.000121607646648231
ILMN_1657662	EXOD1	0.00119294132144408	-0.471646824561397	0.000122270698807506
ILMN_2082273	RGS5	0.00119641698060663	0.427047271929831	0.000122731981279419
ILMN_1731525	GJB3	0.0012077035311845	0.309219433771931	0.000124277079850589
ILMN_1657769	EIF5	0.00120904179209133	0.409853962280705	0.000124455947825992
ILMN_1727184	WDR36	0.00123254478191419	0.25120408881579	0.000127756369300089
ILMN_2217935	RFC1	0.00125194369019429	-0.445916694078946	0.000130108046640677
ILMN_2247868	NFKB2	0.00126986539713529	0.300936718859647	0.000132186689738221
ILMN_1813671	SLC25A1	0.00129682457814328	-0.33339726535087	0.000135522737342134
ILMN_1798475	CSF2RB	0.0013029858465308	0.615534507675443	0.000136432735266662
ILMN_1774800	KTELC1	0.00133122519733734	0.2488009638158	0.00013979745153643
ILMN_1755004	SNORD27	0.00134126294853832	0.678304176535089	0.000141250295439013
ILMN_1719344	LOC730820	0.00135400752006007	0.376264150219299	0.000142902200560356
ILMN_2359029	C11orf17	0.00137274867262274	-0.818080057017541	0.00014523276285909
ILMN_2135456	FLJ32784	0.00139628382058617	0.932507394736847	0.000148055420945839
ILMN_2098743	THEM2	0.00141449834793895	-0.259607668859644	0.000150372003288741
ILMN_1792712	LOC201725	0.00141868256624908	-0.377102901315782	0.000150887987942657
ILMN_1762990	KIAA0141	0.0014360389533104	-0.454350149122803	0.000153004116276731
ILMN_2309245	BIN1	0.00144332697645377	-0.672569430921051	0.000154075412675189
ILMN_2328433	NOP2	0.00144620338933568	0.943716163377195	0.000154579386680534
ILMN_1793990	ID2	0.00145231309377851	0.355795983552637	0.000155627927263327
ILMN_2384629	RGS12	0.00146337945489321	-0.415319741447368	0.000157212293959321
ILMN_2155172	BRIX1	0.00146462998483104	0.480039653508779	0.000157396495970031
ILMN_1733997	SIRPB1	0.00147289480967143	0.834144122807025	0.00015838495093958
ILMN_2121316	SCYL1BP1	0.00149005638629969	-0.727475473684208	0.000160889772861171
