"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"7898020"	"0.0005419"	"2.84e-07"	"5.993523"	"6.626179"	"1.2368808"	"PRAMEF17///PRAMEF10"	"PRAME family member 17///PRAME family member 10"
"7898034"	"0.0005419"	"2.84e-07"	"5.993523"	"6.626179"	"1.2368808"	"PRAMEF17///PRAMEF10"	"PRAME family member 17///PRAME family member 10"
"7926259"	"0.0005419"	"2.89e-07"	"5.987868"	"6.608215"	"0.6734854"	"MCM10"	"minichromosome maintenance 10 replication initiation factor"
"8082133"	"0.0005419"	"3.11e-07"	"-5.966816"	"6.541349"	"-0.3839196"	"PDIA5"	"protein disulfide isomerase family A member 5"
"8156290"	"0.0005419"	"3.18e-07"	"5.960414"	"6.521017"	"0.6681319"	"CKS2"	"CDC28 protein kinase regulatory subunit 2"
"8050702"	"0.0005419"	"3.34e-07"	"5.946924"	"6.47818"	"0.7454318"	"TP53I3"	"tumor protein p53 inducible protein 3"
"7933707"	"0.0005419"	"3.42e-07"	"5.939946"	"6.456023"	"0.6241029"	"ZWINT"	"ZW10 interacting kinetochore protein"
"8082350"	"0.0005508"	"3.64e-07"	"5.92181"	"6.398449"	"0.9603207"	"MCM2"	"minichromosome maintenance complex component 2"
"7912561"	"0.0005674"	"4.07e-07"	"5.889335"	"6.295384"	"1.299747"	"PRAMEF17///PRAMEF10"	"PRAME family member 17///PRAME family member 10"
"8013633"	"0.0005674"	"4.09e-07"	"5.888135"	"6.291577"	"0.4104202"	"UNC119"	"unc-119 lipid binding chaperone"
"7927202"	"0.0006128"	"4.71e-07"	"-5.847446"	"6.162506"	"-0.3630526"	"C10orf25///ZNF22"	"chromosome 10 open reading frame 25///zinc finger protein 22"
"7963567"	"0.0006128"	"5.08e-07"	"5.82562"	"6.093305"	"0.5958835"	"KRT8"	"keratin 8"
"8147049"	"0.0006128"	"5.25e-07"	"5.816037"	"6.06293"	"0.7385495"	"FABP5P3///FABP5"	"fatty acid binding protein 5 pseudogene 3///fatty acid binding protein 5"
"7908492"	"0.0006128"	"5.25e-07"	"-5.815783"	"6.062123"	"-0.9802494"	"CFHR4"	"complement factor H related 4"
"8154656"	"0.0006128"	"5.39e-07"	"-5.808134"	"6.037882"	"-0.5324375"	"DMRTA1"	"DMRT like family A1"
"8166925"	"0.0006128"	"5.63e-07"	"-5.796017"	"5.999484"	"-0.3617522"	"MAOA"	"monoamine oxidase A"
"7948420"	"0.0006128"	"5.70e-07"	"5.791985"	"5.986709"	"0.748259"	"FABP5P3///FABP5"	"fatty acid binding protein 5 pseudogene 3///fatty acid binding protein 5"
"7945014"	"0.0006494"	"6.24e-07"	"5.766005"	"5.904413"	"0.8780996"	"CHEK1"	"checkpoint kinase 1"
"8091306"	"0.0006797"	"6.74e-07"	"-5.743908"	"5.834444"	"-0.5192997"	"PLSCR4"	"phospholipid scramblase 4"
"8104079"	"0.0008392"	"8.57e-07"	"5.674213"	"5.613959"	"1.0998597"	"FAT1"	"FAT atypical cadherin 1"
"8092314"	"0.0008777"	"9.23e-07"	"-5.652803"	"5.546291"	"-0.4317264"	"DNAJC19"	"DnaJ heat shock protein family (Hsp40) member C19"
"8055426"	"0.000886"	"9.58e-07"	"5.641888"	"5.511805"	"0.8773024"	"MCM6"	"minichromosome maintenance complex component 6"
"8122013"	"0.0008866"	"1.02e-06"	"-5.624903"	"5.458156"	"-0.5475831"	"L3MBTL3"	"l(3)mbt-like 3 (Drosophila)"
"7985873"	"0.0008866"	"1.02e-06"	"5.622566"	"5.450776"	"0.3582617"	"TICRR"	"TOPBP1 interacting checkpoint and replication regulator"
"8013015"	"0.0008866"	"1.04e-06"	"-5.61837"	"5.437526"	"-0.4567884"	"CENPV"	"centromere protein V"
"7992828"	"0.0008866"	"1.07e-06"	"5.611132"	"5.414674"	"1.3584141"	"IL32"	"interleukin 32"
"8023955"	"0.0008935"	"1.11e-06"	"5.597969"	"5.373128"	"0.3478303"	"BSG"	"basigin (Ok blood group)"
"7942123"	"0.0008935"	"1.13e-06"	"5.594714"	"5.362853"	"0.682774"	"CCND1"	"cyclin D1"
"7954604"	"0.0009225"	"1.19e-06"	"5.578603"	"5.312025"	"0.3516058"	"KLHL42"	"kelch like family member 42"
"8082965"	"0.0009625"	"1.27e-06"	"5.559011"	"5.250236"	"0.4623433"	"MRAS"	"muscle RAS oncogene homolog"
"8135601"	"0.0009625"	"1.30e-06"	"-5.553056"	"5.231461"	"-0.4445619"	"MET"	"MET proto-oncogene, receptor tyrosine kinase"
"7985829"	"0.0011956"	"1.66e-06"	"5.48187"	"5.007265"	"0.5582164"	"FANCI"	"Fanconi anemia complementation group I"
"7907773"	"0.0011956"	"1.69e-06"	"-5.477284"	"4.992836"	"-0.3076541"	"TOR1AIP1"	"torsin 1A interacting protein 1"
"8178295"	"0.0013136"	"1.90e-06"	"5.442095"	"4.882192"	"1.099414"	"UBD"	"ubiquitin D"
"8081219"	"0.0013136"	"1.93e-06"	"-5.437692"	"4.868355"	"-0.5142247"	"ST3GAL6"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 6"
"8052940"	"0.0013225"	"1.99e-06"	"-5.429845"	"4.843698"	"-0.6285108"	"PAIP2B"	"poly(A) binding protein interacting protein 2B"
"8095705"	"0.0013477"	"2.06e-06"	"-5.418551"	"4.808224"	"-0.8199477"	"MTHFD2L"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like"
"7898048"	"0.0015005"	"2.34e-06"	"5.381517"	"4.691991"	"0.5326105"	"PRAMEF17///PRAMEF10"	"PRAME family member 17///PRAME family member 10"
"8002152"	"0.0015055"	"2.40e-06"	"5.37497"	"4.671458"	"0.4047074"	"SLC12A4"	"solute carrier family 12 member 4"
"8024900"	"0.0015162"	"2.47e-06"	"5.366681"	"4.645467"	"0.7838994"	"UHRF1"	"ubiquitin like with PHD and ring finger domains 1"
"8180222"	"0.0015162"	"2.50e-06"	"-5.362082"	"4.631048"	"-0.7443598"	"CFHR4"	"complement factor H related 4"
"8096301"	"0.0015394"	"2.59e-06"	"5.352365"	"4.600594"	"1.5315522"	"SPP1"	"secreted phosphoprotein 1"
"7923942"	"0.0015475"	"2.68e-06"	"5.34211"	"4.568465"	"0.7283527"	"FCAMR"	"Fc fragment of IgA and IgM receptor"
"7932177"	"0.0015475"	"2.70e-06"	"-5.340558"	"4.563602"	"-0.4609675"	"CDNF"	"cerebral dopamine neurotrophic factor"
"8165345"	"0.0015976"	"2.83e-06"	"5.326245"	"4.518778"	"0.4555391"	"ABCA2"	"ATP binding cassette subfamily A member 2"
"8111864"	"0.0016021"	"2.89e-06"	"-5.320498"	"4.500787"	"-0.3270628"	"C6"	"complement component 6"
"8141066"	"0.0016305"	"2.99e-06"	"-5.310508"	"4.469521"	"-0.46405"	"PON3"	"paraoxonase 3"
"7997257"	"0.0016684"	"3.11e-06"	"-5.299009"	"4.43355"	"-0.5004622"	"ZFP1"	"ZFP1 zinc finger protein"
"8005785"	"0.0016697"	"3.20e-06"	"5.289889"	"4.405028"	"0.334755"	"KSR1"	"kinase suppressor of ras 1"
"7940147"	"0.0016697"	"3.21e-06"	"5.289477"	"4.403741"	"1.2606096"	"FAM111B"	"family with sequence similarity 111 member B"
"8101126"	"0.001791"	"3.50e-06"	"5.26437"	"4.325274"	"1.2684745"	"CXCL10"	"C-X-C motif chemokine ligand 10"
"8124650"	"0.0018197"	"3.61e-06"	"5.255222"	"4.296704"	"1.0951492"	"UBD"	"ubiquitin D"
"8053417"	"0.0019295"	"3.88e-06"	"5.233598"	"4.229207"	"0.5925326"	"CAPG"	"capping actin protein, gelsolin like"
"8146357"	"0.0019389"	"3.97e-06"	"5.227354"	"4.209725"	"0.6883954"	"MCM4"	"minichromosome maintenance complex component 4"
"8167965"	"0.0019389"	"4.02e-06"	"5.223523"	"4.197778"	"0.4595142"	"MSN"	"moesin"
"8071212"	"0.0019715"	"4.14e-06"	"5.214403"	"4.169338"	"0.7380063"	"CDC45"	"cell division cycle 45"
"7928107"	"0.0020095"	"4.28e-06"	"5.204621"	"4.138847"	"0.5146452"	"H2AFY2"	"H2A histone family member Y2"
"7945641"	"0.0020201"	"4.39e-06"	"5.197803"	"4.117601"	"0.6073754"	"DUSP8"	"dual specificity phosphatase 8"
"8062377"	"0.0020201"	"4.44e-06"	"5.194363"	"4.106883"	"0.3344272"	"SRC"	"SRC proto-oncogene, non-receptor tyrosine kinase"
"8103932"	"0.0020201"	"4.51e-06"	"5.189232"	"4.090902"	"0.787053"	"CENPU"	"centromere protein U"
"8114225"	"0.0020201"	"4.55e-06"	"5.186946"	"4.083783"	"0.3224781"	"H2AFY"	"H2A histone family member Y"
"7898026"	"0.0020226"	"4.62e-06"	"5.182678"	"4.070493"	"0.4439511"	"PRAMEF17///PRAMEF10"	"PRAME family member 17///PRAME family member 10"
"7987636"	"0.0020343"	"4.70e-06"	"5.177138"	"4.053245"	"0.2943311"	"OIP5"	"Opa interacting protein 5"
"8020847"	"0.0021178"	"4.96e-06"	"5.161494"	"4.004562"	"1.0847846"	"DTNA"	"dystrobrevin alpha"
"7995040"	"0.0021715"	"5.15e-06"	"5.150369"	"3.969961"	"0.4099747"	"BCKDK"	"branched chain ketoacid dehydrogenase kinase"
"8011027"	"0.0021782"	"5.23e-06"	"5.145743"	"3.955578"	"0.3335059"	"MYO1C"	"myosin IC"
"8141872"	"0.0021811"	"5.31e-06"	"-5.141687"	"3.942969"	"-0.571727"	"NAPEPLD"	"N-acyl phosphatidylethanolamine phospholipase D"
"8122099"	"0.002254"	"5.55e-06"	"-5.128379"	"3.901615"	"-0.3780775"	"ENPP1"	"ectonucleotide pyrophosphatase/phosphodiesterase 1"
"8144036"	"0.0024248"	"6.06e-06"	"5.102344"	"3.820788"	"0.6209774"	"XRCC2"	"X-ray repair cross complementing 2"
"8019842"	"0.0024248"	"6.26e-06"	"5.092747"	"3.791015"	"1.096303"	"TYMS"	"thymidylate synthetase"
"8126279"	"0.0024248"	"6.32e-06"	"5.089966"	"3.78239"	"0.6835616"	"TREM2"	"triggering receptor expressed on myeloid cells 2"
"8063115"	"0.0024248"	"6.39e-06"	"5.086854"	"3.772741"	"1.0861531"	"MMP9"	"matrix metallopeptidase 9"
"8003814"	"0.0024248"	"6.47e-06"	"-5.082996"	"3.760779"	"-0.6025036"	"ASPA"	"aspartoacylase"
"8047127"	"0.0024248"	"6.52e-06"	"-5.080757"	"3.75384"	"-0.3027891"	"MYO1B"	"myosin IB"
"8126860"	"0.0024248"	"6.53e-06"	"-5.080208"	"3.752139"	"-0.3421116"	"MUT"	"methylmalonyl-CoA mutase"
"8048319"	"0.0024248"	"6.64e-06"	"-5.075657"	"3.738034"	"-1.2866142"	"VIL1"	"villin 1"
"8127854"	"0.0024248"	"6.78e-06"	"5.069483"	"3.718902"	"0.9620355"	"ME1"	"malic enzyme 1"
"7899244"	"0.0024248"	"6.83e-06"	"-5.067059"	"3.711392"	"-0.3333141"	"PIGV"	"phosphatidylinositol glycan anchor biosynthesis class V"
"7909586"	"0.0024248"	"6.89e-06"	"-5.064744"	"3.704222"	"-0.366379"	"PPP2R5A"	"protein phosphatase 2 regulatory subunit B'alpha"
"8076185"	"0.0024248"	"6.90e-06"	"-5.064172"	"3.702449"	"-0.3642146"	"CBX7"	"chromobox 7"
"7947358"	"0.0024248"	"6.94e-06"	"-5.062609"	"3.697607"	"-0.3656942"	"TPT1-AS1"	"TPT1 antisense RNA 1"
"7970241"	"0.0024248"	"7.04e-06"	"-5.058136"	"3.683757"	"-0.2308084"	"F10"	"coagulation factor X"
"7924636"	"0.0024248"	"7.06e-06"	"5.057175"	"3.680782"	"0.4199276"	"TMEM63A"	"transmembrane protein 63A"
"8064844"	"0.0024589"	"7.24e-06"	"5.050001"	"3.658572"	"0.4696977"	"PCNA-AS1///PCNA"	"PCNA antisense RNA 1///proliferating cell nuclear antigen"
"8049425"	"0.0026606"	"7.91e-06"	"-5.02365"	"3.577062"	"-0.3623617"	"SPP2"	"secreted phosphoprotein 2"
"7989611"	"0.002712"	"8.14e-06"	"-5.014995"	"3.550309"	"-0.3825007"	"FAM96A"	"family with sequence similarity 96 member A"
"8144857"	"0.0027303"	"8.28e-06"	"-5.01005"	"3.535033"	"-0.4244806"	"NAT1"	"N-acetyltransferase 1"
"8017850"	"0.0027677"	"8.48e-06"	"5.003101"	"3.513568"	"0.4640547"	"WIPI1"	"WD repeat domain, phosphoinositide interacting 1"
"8023995"	"0.0028865"	"8.93e-06"	"4.987731"	"3.466124"	"0.7213087"	"FSTL3"	"follistatin like 3"
"8103706"	"0.0029788"	"9.30e-06"	"-4.975514"	"3.428435"	"-0.4791704"	"AADAT"	"aminoadipate aminotransferase"
"7921487"	"0.0029904"	"9.49e-06"	"4.969512"	"3.40993"	"0.3988558"	"TAGLN2"	"transgelin 2"
"8007071"	"0.0029904"	"9.52e-06"	"4.968702"	"3.407432"	"0.9588177"	"CDC6"	"cell division cycle 6"
"8153021"	"0.0030629"	"9.93e-06"	"-4.956178"	"3.368837"	"-0.4001122"	"ST3GAL1"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
"7899192"	"0.0030629"	"9.93e-06"	"4.95603"	"3.368382"	"0.565652"	"RPS6KA1"	"ribosomal protein S6 kinase A1"
"7955637"	"0.0034616"	"1.13e-05"	"4.916872"	"3.247872"	"0.5090494"	"KRT18"	"keratin 18"
"7972932"	"0.0034776"	"1.15e-05"	"4.912772"	"3.23527"	"1.0698241"	"GAS6-AS1///GAS6-AS1"	"GAS6 antisense RNA 1///GAS6 antisense RNA 1"
"7901732"	"0.0035194"	"1.17e-05"	"-4.906517"	"3.216047"	"-0.4094528"	"C8A"	"complement component 8 alpha subunit"
"8167369"	"0.0035414"	"1.19e-05"	"4.901989"	"3.202139"	"0.3361274"	"HDAC6"	"histone deacetylase 6"
"8034772"	"0.0039068"	"1.33e-05"	"4.870036"	"3.104074"	"0.553012"	"ASF1B"	"anti-silencing function 1B histone chaperone"
"8016646"	"0.0039334"	"1.35e-05"	"4.865381"	"3.089803"	"0.9088953"	"COL1A1"	"collagen type I alpha 1 chain"
"8017964"	"0.0039821"	"1.38e-05"	"-4.859096"	"3.070543"	"-0.3838774"	"ABCA6"	"ATP binding cassette subfamily A member 6"
"8065710"	"0.0041851"	"1.46e-05"	"4.841644"	"3.017092"	"0.6269533"	"E2F1"	"E2F transcription factor 1"
"7972062"	"0.004225"	"1.48e-05"	"-4.83624"	"3.000551"	"-0.3241502"	"FBXL3"	"F-box and leucine rich repeat protein 3"
"7969574"	"0.0042711"	"1.51e-05"	"4.830447"	"2.982827"	"0.5550633"	"MIR622///KRT18"	"microRNA 622///keratin 18"
"8061986"	"0.0045906"	"1.64e-05"	"-4.80632"	"2.909072"	"-0.2824922"	"ITCH"	"itchy E3 ubiquitin protein ligase"
"7983306"	"0.0046539"	"1.70e-05"	"4.795949"	"2.8774"	"0.5412903"	"WDR76"	"WD repeat domain 76"
"7960117"	"0.0046539"	"1.70e-05"	"-4.795786"	"2.876902"	"-0.2931579"	"PXMP2"	"peroxisomal membrane protein 2"
"8056102"	"0.0046539"	"1.71e-05"	"-4.79475"	"2.873742"	"-0.4509466"	"LY75-CD302///CD302///LY75-CD302///CD302///LY75"	"LY75-CD302 readthrough///CD302 molecule///LY75-CD302 readthrough///CD302 molecule///lymphocyte antigen 75"
"8085797"	"0.0048505"	"1.79e-05"	"-4.779896"	"2.828417"	"-0.3202439"	"THRB"	"thyroid hormone receptor beta"
"8052934"	"0.0048799"	"1.82e-05"	"-4.77565"	"2.815471"	"-0.2907265"	"MCEE"	"methylmalonyl-CoA epimerase"
"8163481"	"0.0050428"	"1.91e-05"	"-4.761259"	"2.771614"	"-0.3896145"	"CDC26"	"cell division cycle 26"
"7927186"	"0.0050428"	"1.91e-05"	"4.760934"	"2.770622"	"0.4574773"	"RASSF4"	"Ras association domain family member 4"
"8044462"	"0.0050428"	"1.92e-05"	"4.75861"	"2.763544"	"0.3480445"	"TTL"	"tubulin tyrosine ligase"
"8135734"	"0.0050516"	"1.95e-05"	"-4.754193"	"2.750093"	"-0.3899463"	"CPED1"	"cadherin like and PC-esterase domain containing 1"
"8025347"	"0.0050516"	"1.98e-05"	"4.749524"	"2.735879"	"0.3021001"	"LRRC8E"	"leucine rich repeat containing 8 family member E"
"7935679"	"0.0050516"	"1.98e-05"	"-4.749166"	"2.734789"	"-0.3924044"	"CPN1"	"carboxypeptidase N subunit 1"
"7980098"	"0.0050516"	"1.99e-05"	"-4.748262"	"2.732038"	"-0.3960536"	"BBOF1///ALDH6A1"	"basal body orientation factor 1///aldehyde dehydrogenase 6 family member A1"
"7989335"	"0.0050516"	"2.00e-05"	"4.746479"	"2.726612"	"0.8499841"	"ANXA2"	"annexin A2"
"7946641"	"0.0051077"	"2.04e-05"	"4.74089"	"2.709605"	"0.3174138"	"GALNT18"	"polypeptide N-acetylgalactosaminyltransferase 18"
"8060963"	"0.0051355"	"2.08e-05"	"4.735481"	"2.69315"	"0.5351034"	"SNAP25"	"synaptosome associated protein 25"
"7910997"	"0.0051355"	"2.08e-05"	"4.734767"	"2.690979"	"0.4256954"	"EXO1"	"exonuclease 1"
"8114653"	"0.0051872"	"2.12e-05"	"-4.729535"	"2.67507"	"-0.2794597"	"TAF7"	"TATA-box binding protein associated factor 7"
"7913357"	"0.0054492"	"2.26e-05"	"-4.709812"	"2.615149"	"-0.2468886"	"ECE1"	"endothelin converting enzyme 1"
"8013191"	"0.0054492"	"2.28e-05"	"4.707187"	"2.607182"	"0.2467568"	"FLII"	"FLII, actin remodeling protein"
"8072687"	"0.0054492"	"2.29e-05"	"4.70562"	"2.602425"	"0.8288247"	"MCM5"	"minichromosome maintenance complex component 5"
"8157949"	"0.0054492"	"2.30e-05"	"4.704748"	"2.599778"	"0.4432523"	"RALGPS1"	"Ral GEF with PH domain and SH3 binding motif 1"
"8171001"	"0.0054492"	"2.31e-05"	"-4.703819"	"2.596959"	"-0.4535512"	"FUNDC2"	"FUN14 domain containing 2"
"7972239"	"0.0057025"	"2.43e-05"	"-4.687982"	"2.54892"	"-0.7467039"	"SLITRK6"	"SLIT and NTRK like family member 6"
"8073826"	"0.0057054"	"2.47e-05"	"-4.68348"	"2.535274"	"-0.3135123"	"PPARA"	"peroxisome proliferator activated receptor alpha"
"8083826"	"0.0057054"	"2.48e-05"	"-4.682415"	"2.532046"	"-0.3196801"	"SEC62"	"SEC62 homolog, preprotein translocation factor"
"7961673"	"0.0057054"	"2.49e-05"	"-4.680931"	"2.527548"	"-0.2921499"	"GYS2"	"glycogen synthase 2"
"7998759"	"0.0057054"	"2.50e-05"	"4.67945"	"2.523059"	"0.3778886"	"PGP"	"phosphoglycolate phosphatase"
"7969533"	"0.0058025"	"2.56e-05"	"-4.672292"	"2.501377"	"-0.3520856"	"SLAIN1"	"SLAIN motif family member 1"
"8162601"	"0.0060027"	"2.67e-05"	"4.659997"	"2.464158"	"0.5919479"	"ZNF367"	"zinc finger protein 367"
"8144917"	"0.0060349"	"2.70e-05"	"4.656344"	"2.453107"	"0.688294"	"LPL"	"lipoprotein lipase"
"7949364"	"0.0062669"	"2.82e-05"	"4.642911"	"2.412486"	"0.371133"	"CDCA5"	"cell division cycle associated 5"
"7916526"	"0.0062707"	"2.84e-05"	"-4.640717"	"2.405857"	"-0.3554159"	"C8B"	"complement component 8, beta polypeptide"
"7942774"	"0.0062957"	"2.87e-05"	"-4.637517"	"2.396187"	"-0.3746756"	"AQP11"	"aquaporin 11"
"8091243"	"0.0063427"	"2.92e-05"	"-4.633007"	"2.382562"	"-0.6057706"	"PCOLCE2"	"procollagen C-endopeptidase enhancer 2"
"8107859"	"0.0063427"	"2.93e-05"	"-4.631307"	"2.377431"	"-0.3169273"	"LYRM7"	"LYR motif containing 7"
"8044882"	"0.0064773"	"3.02e-05"	"-4.622988"	"2.352315"	"-0.3610219"	"EPB41L5"	"erythrocyte membrane protein band 4.1 like 5"
"8033912"	"0.006495"	"3.05e-05"	"4.619696"	"2.342379"	"0.382077"	"DNMT1"	"DNA (cytosine-5-)-methyltransferase 1"
"8088106"	"0.006495"	"3.06e-05"	"4.618278"	"2.338101"	"0.4086624"	"TKT"	"transketolase"
"7957654"	"0.0066002"	"3.14e-05"	"-4.610875"	"2.315771"	"-0.5544583"	"AMDHD1"	"amidohydrolase domain containing 1"
"8134680"	"0.0066002"	"3.15e-05"	"-4.60957"	"2.311835"	"-0.3606407"	"ZKSCAN1"	"zinc finger with KRAB and SCAN domains 1"
"7923086"	"0.0067614"	"3.25e-05"	"4.600031"	"2.283082"	"0.7692808"	"ASPM"	"abnormal spindle microtubule assembly"
"8081036"	"0.0067614"	"3.27e-05"	"-4.59846"	"2.27835"	"-0.6671841"	"CADM2"	"cell adhesion molecule 2"
"8015460"	"0.0068357"	"3.33e-05"	"4.593267"	"2.262706"	"0.503097"	"ACLY"	"ATP citrate lyase"
"7973142"	"0.0072186"	"3.53e-05"	"-4.574842"	"2.207253"	"-0.5518395"	"TPPP2"	"tubulin polymerization promoting protein family member 2"
"8103695"	"0.0073106"	"3.60e-05"	"-4.569133"	"2.190089"	"-0.3573421"	"MFAP3L"	"microfibrillar associated protein 3 like"
"8127031"	"0.007449"	"3.69e-05"	"4.561583"	"2.167395"	"0.5611185"	"MCM3"	"minichromosome maintenance complex component 3"
"8056206"	"0.0076482"	"3.81e-05"	"-4.551716"	"2.137761"	"-0.4164137"	"RBMS1"	"RNA binding motif single stranded interacting protein 1"
"8095009"	"0.0080317"	"4.07e-05"	"-4.532103"	"2.078917"	"-0.3542026"	"DCUN1D4"	"defective in cullin neddylation 1 domain containing 4"
"8131179"	"0.0080317"	"4.15e-05"	"4.525649"	"2.059572"	"0.6160637"	"TTYH3"	"tweety family member 3"
"8107673"	"0.0080317"	"4.17e-05"	"-4.524543"	"2.05626"	"-0.4449829"	"GRAMD3"	"GRAM domain containing 3"
"8024843"	"0.0080317"	"4.18e-05"	"4.52357"	"2.053343"	"0.304395"	"CHAF1A"	"chromatin assembly factor 1 subunit A"
"7919193"	"0.0080317"	"4.23e-05"	"-4.520329"	"2.043634"	"-0.4008275"	"NUDT4P1///NUDT4"	"nudix hydrolase 4 pseudogene 1///nudix hydrolase 4"
"8025788"	"0.0080317"	"4.24e-05"	"4.519017"	"2.039704"	"0.2518272"	"SMARCA4"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
"8007302"	"0.0080317"	"4.27e-05"	"4.517281"	"2.034507"	"0.37746"	"TUBG1"	"tubulin gamma 1"
"8070632"	"0.0080317"	"4.27e-05"	"-4.516894"	"2.033347"	"-0.3579039"	"CBS"	"cystathionine-beta-synthase"
"7927814"	"0.0080317"	"4.28e-05"	"-4.516409"	"2.031896"	"-0.2876714"	"SIRT1"	"sirtuin 1"
"8047300"	"0.0080317"	"4.28e-05"	"-4.516287"	"2.03153"	"-0.3073456"	"AOX1"	"aldehyde oxidase 1"
"7905085"	"0.0080317"	"4.31e-05"	"4.514033"	"2.02478"	"0.3415997"	"HIST2H3D///HIST2H3A///HIST2H3C"	"histone cluster 2, H3d///histone cluster 2, H3a///histone cluster 2, H3c"
"7919614"	"0.0080317"	"4.31e-05"	"4.514033"	"2.02478"	"0.3415997"	"HIST2H3D///HIST2H3A///HIST2H3C"	"histone cluster 2, H3d///histone cluster 2, H3a///histone cluster 2, H3c"
"8062623"	"0.0080317"	"4.34e-05"	"4.512389"	"2.01986"	"0.318909"	"PLCG1"	"phospholipase C gamma 1"
"8023561"	"0.0080317"	"4.34e-05"	"-4.512127"	"2.019075"	"-0.2611636"	"LMAN1"	"lectin, mannose binding 1"
"8013486"	"0.0082987"	"4.51e-05"	"4.500452"	"1.984144"	"0.2412319"	"USP22"	"ubiquitin specific peptidase 22"
"7979281"	"0.0083669"	"4.57e-05"	"4.49627"	"1.971639"	"0.544867"	"WDHD1"	"WD repeat and HMG-box DNA binding protein 1"
"8081548"	"0.0084354"	"4.64e-05"	"-4.492105"	"1.959189"	"-0.2972364"	"NECTIN3"	"nectin cell adhesion molecule 3"
"7959408"	"0.008533"	"4.72e-05"	"4.486922"	"1.943703"	"0.5815305"	"KNTC1"	"kinetochore associated 1"
"7952069"	"0.0085942"	"4.78e-05"	"-4.482728"	"1.931175"	"-0.3256258"	"IFT46"	"intraflagellar transport 46"
"8121515"	"0.0085942"	"4.81e-05"	"-4.480751"	"1.925272"	"-0.7158411"	"SLC16A10"	"solute carrier family 16 member 10"
"7987772"	"0.0085942"	"4.85e-05"	"4.478475"	"1.918478"	"0.3934376"	"EHD4"	"EH domain containing 4"
"8106986"	"0.0085942"	"4.85e-05"	"-4.478049"	"1.917205"	"-0.5234242"	"RHOBTB3"	"Rho related BTB domain containing 3"
"7892701"	"0.0085942"	"4.88e-05"	"4.476537"	"1.912691"	"0.3180493"	""	""
"7912473"	"0.0086932"	"4.96e-05"	"4.471416"	"1.897408"	"0.6711737"	"FBXO44///FBXO2"	"F-box protein 44///F-box protein 2"
"8137865"	"0.0087032"	"4.99e-05"	"4.469458"	"1.891568"	"0.3435802"	"GNA12"	"G protein subunit alpha 12"
"7919971"	"0.0087406"	"5.06e-05"	"4.465039"	"1.878386"	"0.3280597"	"RFX5"	"regulatory factor X5"
"7918008"	"0.0087406"	"5.08e-05"	"-4.464347"	"1.876324"	"-0.3417615"	"DBT"	"dihydrolipoamide branched chain transacylase E2"
"8034304"	"0.0087406"	"5.09e-05"	"4.463373"	"1.873419"	"0.5469686"	"ACP5"	"acid phosphatase 5, tartrate resistant"
